Apr28 13:55:09 [ INFO]              CLUSTER: Killing cassandra nodes
Apr28 13:57:02 [DEBUG]              CLIENTS: Found orchestrator orchestrator
Apr28 13:57:02 [ INFO]              CLIENTS: Killing cassandra nodes
Apr28 13:57:06 [ INFO]              CLUSTER: Injecting host files
Apr28 13:57:10 [ INFO]              CLUSTER: Running bootstrap scripts
Apr28 14:07:11 [ INFO]              CLUSTER: READY!!
Apr28 14:07:42 [DEBUG]              CLIENTS: Found orchestrator orchestrator
Apr28 14:07:43 [ INFO]              CLIENTS: running load phase on clients__1
Apr28 14:07:43 [ INFO]              CLIENTS: running load phase on clients__2
Apr28 14:07:43 [ INFO]              CLIENTS: running load phase on clients__3
Apr28 14:07:43 [ INFO]              CLIENTS: waiting for load phase to finish in clients
Apr28 14:32:29 [DEBUG]              CLIENTS: Found orchestrator orchestrator
Apr28 14:32:44 [ INFO]              CLIENTS: running sinusoid on clients__1
Apr28 14:32:45 [ INFO]              CLIENTS: running sinusoid on clients__2
Apr28 14:32:45 [ INFO]              CLIENTS: running sinusoid on clients__3
Apr28 14:33:18 [DEBUG]              CLIENTS: Found orchestrator orchestrator
Apr28 14:33:18 [DEBUG]          COORDINATOR: --------- NEW RUN  -----------------
Apr28 14:33:18 [ INFO]          COORDINATOR: Cluster exists using it as is
Apr28 14:33:18 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:33:48 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:33:48 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:33:48 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:33:48 [DEBUG]      RLDecisionMaker: New decision in 5.0 mins, see you later!
Apr28 14:34:18 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:34:18 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:34:18 [DEBUG]      RLDecisionMaker: Collecting metrics
