State		Lambda		Throughput		Latency		CPU		Time
8		2001.82833726		1989.1292224		16.3154835141		0		2014-04-12 20:59:56
8		2022.10898543		2036.83782077		13.5318533426		0		2014-04-12 21:00:26
8		2059.66830904		1774.17049006		256.663653105		0		2014-04-12 21:00:56
8		2111.74908561		2075.21004739		9.11047858489		0		2014-04-12 21:01:26
8		2186.66790707		2178.63372698		15.8494897121		0		2014-04-12 21:01:56
8		2264.91964669		2238.3068859		15.0216721058		0		2014-04-12 21:02:26
8		2368.39971429		2343.86459399		17.5121648131		0		2014-04-12 21:02:56
8		2480.75351187		2471.60299705		14.7663807612		0		2014-04-12 21:03:26
8		2615.9743467		2599.89711393		12.6331613035		0		2014-04-12 21:03:56
8		2765.10071578		2769.50155832		12.2880477161		0		2014-04-12 21:04:26
8		2929.78542958		2911.2180479		10.1131622933		0		2014-04-12 21:04:56
8		3098.59659105		3093.50458786		12.9641609455		0		2014-04-12 21:05:26
8		3291.05218858		3289.89153938		11.5752518627		0		2014-04-12 21:05:56
8		3485.10588442		3493.83275932		13.5769504835		0		2014-04-12 21:06:26
8		3702.98533584		3687.20265829		12.4073911027		0		2014-04-12 21:06:56
8		3933.19855136		3920.00958057		12.9463427019		0		2014-04-12 21:07:26
8		4160.41222288		4154.43921809		11.9962956662		0		2014-04-12 21:07:56
8		4412.10242036		4408.31739968		13.6536683544		0		2014-04-12 21:08:26
8		4673.15252847		4676.37242599		13.4498046642		0		2014-04-12 21:08:57
8		4944.25986678		4918.72241521		15.2497154539		0		2014-04-12 21:09:27
8		5221.89075321		5186.75659701		15.6945899518		0		2014-04-12 21:09:57
8		5507.01113231		5396.13756712		17.4065888919		0		2014-04-12 21:10:27
8		5798.4993608		5577.58013824		16.7007763158		0		2014-04-12 21:10:57
8		6095.5726911		5817.28478801		15.7971101847		0		2014-04-12 21:11:27
8		6380.83348057		5999.24033867		18.1315575457		0		2014-04-12 21:11:57
8		6686.90366688		6107.85511484		19.8807764777		0		2014-04-12 21:12:27
8		6996.49187197		6189.07504393		30.9015390146		0		2014-04-12 21:12:57
8		7308.72452969		6247.4743177		14.9938059543		0		2014-04-12 21:13:27
8		7623.0114948		6324.4296353		28.5495543838		0		2014-04-12 21:13:57
8		7938.14704889		6296.40708305		34.1580277778		0		2014-04-12 21:14:27
8		8253.21780564		6428.54126309		16.5786921144		0		2014-04-12 21:14:57
8		8567.53597316		6363.25443073		29.416415717		0		2014-04-12 21:15:27
8		8880.21113338		6274.31104045		35.5339109753		0		2014-04-12 21:15:57
8		9190.47202568		6409.44491738		24.1116444444		0		2014-04-12 21:16:27
8		9497.425741		6486.10235935		32.567294369		0		2014-04-12 21:16:57
8		9783.59332282		6574.63814761		32.8934104288		0		2014-04-12 21:17:27
8		10081.8518929		6355.22721116		35.6791864121		0		2014-04-12 21:17:57
8		10374.2700724		6437.94569873		26.6908472222		0		2014-04-12 21:18:27
8		10660.1010825		6203.82536468		21.1618786165		0		2014-04-12 21:18:57
8		10938.6179068		6580.39229195		26.919184796		0		2014-04-12 21:19:27
8		11209.0126876		6543.24832847		24.4268611111		0		2014-04-12 21:19:57
